team,commons_page_title,image_url,mime_type,score,source,local_file
University of Illinois Urbana–Champaign (Illinois),,,,0,existing_file,logos/University_of_Illinois_Urbana_Champaign_Illinois_.svg
University of Iowa,,,,0,existing_file,logos/University_of_Iowa.svg
University of Kansas,,,,0,existing_file,logos/University_of_Kansas.svg
University of Kentucky,,,,0,existing_file,logos/University_of_Kentucky.svg
University of Louisiana at Lafayette (Louisiana),,,,0,not_found,
University of Louisiana at Monroe (ULM or Louisiana–Monroe),,,,0,not_found,
University of Louisville,,,,0,existing_file,logos/University_of_Louisville.svg
University of Maryland Eastern Shore (UMES or Maryland Eastern Shore),,,,0,existing_file,logos/University_of_Maryland_Eastern_Shore_UMES_or_Maryland_Eastern_Shore_.png&type=jpeg
"University of Maryland, Baltimore County (UMBC)",,,,0,not_found,
"University of Maryland, College Park (Maryland)",,,,0,not_found,
University of Memphis,,,,0,existing_file,logos/University_of_Memphis.svg
University of Miami,,,,0,existing_file,logos/University_of_Miami.svg
University of Michigan,,,,0,existing_file,logos/University_of_Michigan.svg
"University of Minnesota, Twin Cities (Minnesota)",,,,0,not_found,
University of Mississippi (Ole Miss),,,,0,existing_file,logos/University_of_Mississippi_Ole_Miss_.svg
University of Missouri-Kansas City (Kansas City),,,,0,not_found,
University of Missouri–Columbia (Missouri),,,,0,not_found,
University of Montana,,,,0,existing_file,logos/University_of_Montana.svg
University of Nebraska Omaha (Omaha),,,,0,existing_file,logos/University_of_Nebraska_Omaha_Omaha_.svg
University of Nebraska–Lincoln (Nebraska),,,,0,not_found,
"University of Nevada, Las Vegas (UNLV)",,,,0,existing_file,logos/University_of_Nevada_Las_Vegas_UNLV_.jpg
"University of Nevada, Reno (Nevada)",,,,0,not_found,
University of New Hampshire,,,,0,existing_file,logos/University_of_New_Hampshire.svg
University of New Haven[m],,,,0,not_found,
University of New Mexico,,,,0,existing_file,logos/University_of_New_Mexico.svg
University of New Orleans,,,,0,existing_file,logos/University_of_New_Orleans.png
University of North Alabama,,,,0,existing_file,logos/University_of_North_Alabama.svg
University of North Carolina Asheville (UNC Asheville),,,,0,existing_file,logos/University_of_North_Carolina_Asheville_UNC_Asheville_.png
University of North Carolina Wilmington (UNCW or UNC Wilmington),,,,0,not_found,
University of North Carolina at Chapel Hill (North Carolina),,,,0,not_found,
University of North Carolina at Charlotte (Charlotte),,,,0,not_found,
University of North Carolina at Greensboro (UNC Greensboro or UNCG),,,,0,not_found,
University of North Dakota,,,,0,existing_file,logos/University_of_North_Dakota.svg
University of North Florida,,,,0,existing_file,logos/University_of_North_Florida.png
University of North Texas,,,,0,existing_file,logos/University_of_North_Texas.jpg
University of Northern Colorado,,,,0,existing_file,logos/University_of_Northern_Colorado.svg
University of Northern Iowa,,,,0,existing_file,logos/University_of_Northern_Iowa.png
University of Notre Dame,,,,0,existing_file,logos/University_of_Notre_Dame.svg
University of Oklahoma,,,,0,existing_file,logos/University_of_Oklahoma.svg
University of Oregon,,,,0,existing_file,logos/University_of_Oregon.svg
University of Pennsylvania (Penn),,,,0,existing_file,logos/University_of_Pennsylvania_Penn_.png
University of Pittsburgh,,,,0,existing_file,logos/University_of_Pittsburgh.svg
University of Portland,,,,0,existing_file,logos/University_of_Portland.svg
University of Rhode Island,,,,0,existing_file,logos/University_of_Rhode_Island.svg
University of San Diego,,,,0,existing_file,logos/University_of_San_Diego.svg
University of San Francisco,,,,0,existing_file,logos/University_of_San_Francisco.svg
University of South Alabama,,,,0,existing_file,logos/University_of_South_Alabama.svg
University of South Carolina,,,,0,existing_file,logos/University_of_South_Carolina.svg
University of South Carolina Upstate (USC Upstate),,,,0,not_found,
University of South Dakota,,,,0,existing_file,logos/University_of_South_Dakota.svg
University of South Florida,,,,0,existing_file,logos/University_of_South_Florida.png
University of Southern California (USC),,,,0,existing_file,logos/University_of_Southern_California_USC_.svg
University of Southern Indiana,,,,0,existing_file,logos/University_of_Southern_Indiana.svg
University of St. Thomas,,,,0,existing_file,logos/University_of_St_Thomas.svg
University of Tennessee,,,,0,existing_file,logos/University_of_Tennessee.svg
University of Tennessee at Chattanooga (Chattanooga),,,,0,not_found,
University of Tennessee at Martin (UT Martin),,,,0,existing_file,logos/University_of_Tennessee_at_Martin_UT_Martin_.png
University of Texas Rio Grande Valley (UT Rio Grande Valley or UTRGV),,,,0,not_found,
University of Texas at Arlington,,,,0,existing_file,logos/University_of_Texas_at_Arlington.svg
